ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
133184,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Atlantic,ARHU,LITT,BA,LITT,Literature,LITT,CRWT,21,,More Than 1 Race,202320,R
133204,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Sussex,NAMS,BIOL-BS,BS,BIOL,Biology,BIOL-BS,GENE,22,,Caucasian or White,202320,R
133209,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,26,,Asian,202320,R
133212,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,21,Y,Caucasian or White,202320,R
133217,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,20,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,27,,Hispanic or Latino,202320,R
133223,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,17,Middlesex,NAMS,CHEM-BS,BS,CHEM,Chemistry,CHEM-BS,AMCS,23,Y,Caucasian or White,202320,R
133236,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Ocean,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,19,,Caucasian or White,202320,R
133238,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,17,Camden,NAMS,MARS-BS,BS,MARS,Marine Science,MARS-BS,MBIO,22,,Caucasian or White,202320,R
133241,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,20,Bergen,BUSN,HTEM,BS,HTEM,Hospitality Tourism Event Mgmt,HTEM,GENE,21,Y,Caucasian or White,202320,R
133254,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Atlantic,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,23,,Asian,202320,R
133255,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,34,,Hispanic or Latino,202320,R
133258,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Ocean,BUSN,BUSN-BA,BA,BSNS,Business Studies,BUSN-BA,GENE,26,,Caucasian or White,202320,R
133308,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Ocean,SOBL,POLS,BA,POLS,Political Science,POLS,INAF,24,,Hispanic or Latino,202320,R
133323,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Camden,SOBL,PSYC-BA,BA,PSYC,Psychology,PSYC-BA,MHLT,22,Y,Caucasian or White,202320,R
133333,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,29,,Caucasian or White,202320,R
133341,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Cape May,HLTH,HLTH-BS,BS,HLSC,Health Science,HLTH-BS,GENE,29,,Caucasian or White,202320,R
